,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.2865908461581768,,Intercept,314.6495323422446,315.0,0.35046765775541644,315.0
1,1,grade:A,1.1555711173886745,2.054571467990212e-37,grade,89.09952582339596,89.0,-0.09952582339596461,89.0
2,2,grade:B,0.9129405992232815,2.731772616071397e-51,grade,70.39166458187093,70.0,-0.391664581870927,70.0
3,3,grade:C,0.7163885899932861,2.2253652586835893e-37,grade,55.23665546256807,55.0,-0.23665546256807346,55.0
4,4,grade:D,0.525339087074744,4.1911920752352633e-23,grade,40.505913353588774,41.0,0.4940866464112261,41.0
5,5,grade:E,0.34227439993924275,3.0449442955094374e-13,grade,26.39083504007004,26.0,-0.39083504007004066,26.0
6,6,grade:F,0.15221057410224326,0.00181215383457379,grade,11.73609289271915,12.0,0.26390710728085054,12.0
7,7,home_ownership:OWN,0.09371522010349612,3.282189137358238e-06,home_ownership,7.225848368835776,7.0,-0.2258483688357762,7.0
8,8,home_ownership:MORTGAGE,0.1062184931978982,4.4288158952191995e-17,home_ownership,8.189904745105473,8.0,-0.18990474510547273,8.0
9,9,addr_state:NM_VA,0.036094088018431295,0.2594831164772554,addr_state,2.7830101315940565,3.0,0.21698986840594348,3.0
10,10,addr_state:NY,0.05779147165485186,0.01698910143835137,addr_state,4.455972154028498,4.0,-0.45597215402849756,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05982645532758658,0.009726919596579047,addr_state,4.612878187392112,5.0,0.38712181260788814,5.0
12,12,addr_state:CA,0.06394719145925015,0.002537803898410462,addr_state,4.930604746882667,5.0,0.06939525311733341,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07898182150797997,0.0015141178479097898,addr_state,6.089839681119467,6.0,-0.08983968111946705,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13694686790482813,1.1515910889015404e-09,addr_state,10.559195197689714,11.0,0.44080480231028574,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10165249574051323,0.0006562288032530445,addr_state,7.837846613639561,8.0,0.16215338636043874,8.0
16,16,addr_state:GA_WA_OR,0.18574465541669113,3.201430099614923e-12,addr_state,14.321715446865719,14.0,-0.32171544686571885,14.0
17,17,addr_state:WI_MT,0.2404395798135786,4.240665477735822e-07,addr_state,18.538930428598462,19.0,0.4610695714015378,19.0
18,18,addr_state:TX,0.22286266268676128,9.250644339365366e-18,addr_state,17.183674176628816,17.0,-0.18367417662881635,17.0
19,19,addr_state:IL_CT,0.26276658902079764,2.2180626678948417e-19,addr_state,20.260439302853843,20.0,-0.2604393028538432,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3209300887278977,2.1851741704435963e-25,addr_state,24.745096427066798,25.0,0.25490357293320187,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5241885032259473,6.882691343818808e-23,addr_state,40.41719836772144,40.0,-0.4171983677214399,40.0
22,22,verification_status:Not Verified,0.08443136835616626,7.097764834909697e-09,verification_status,6.510023288012496,7.0,0.48997671198750403,7.0
23,23,verification_status:Source Verified,-0.010561788716499642,0.4316255035781874,verification_status,-0.8143595425035975,-1.0,-0.18564045749640246,-1.0
24,24,purpose:credit_card,0.3004137975177551,2.051001795208672e-26,purpose,23.163201733636548,23.0,-0.16320173363654789,23.0
25,25,purpose:debt_consolidation,0.19716707690324548,3.1720496292684475e-14,purpose,15.202433494325058,15.0,-0.2024334943250583,15.0
26,26,purpose:oth__med__vacation,0.21326022138285786,6.773719989303991e-12,purpose,16.44328446451989,16.0,-0.44328446451989123,16.0
27,27,purpose:major_purch__car__home_impr,0.26554346983719473,1.6534274412078276e-17,purpose,20.47454881137823,20.0,-0.4745488113782308,20.0
28,28,initial_list_status:w,0.054819722403636334,2.676210984058848e-05,initial_list_status,4.226837447245862,4.0,-0.2268374472458623,4.0
29,29,term:36,0.078659024727354,1.8128042601799997e-08,term,6.064950654681973,6.0,-0.06495065468197314,6.0
30,30,emp_length:1,0.09920196057702915,0.000130162134927367,emp_length,7.648899764938989,8.0,0.3511002350610113,8.0
31,31,emp_length:2-4,0.12617430300548615,2.2477232579642847e-11,emp_length,9.72858390082542,10.0,0.27141609917458,10.0
32,32,emp_length:5-6,0.09142907215491135,1.9236352284003035e-05,emp_length,7.049576484642846,7.0,-0.04957648464284592,7.0
33,33,emp_length:7-9,0.06158926324645307,0.0030543300539032105,emp_length,4.748798294190612,5.0,0.25120170580938783,5.0
